"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"q_5",0.00915734178210357,0.00520288945895392,0.00493343820523578,0.00256630704301133,-0.00106875873077816,-0.00210538832443815,0.00198271218677004,0.00088655667068219,0.00207743062050782,0.000947642114738057,0.00212579156865269,-0.0112529334582285,-0.00335186552920593,-0.0300026837608153,-0.0367870927021275,-0.025962043046463
"q_6",0.00184489435738831,-0.00113090204898771,-0.00488241437589781,-0.00271270296408638,-0.00185908624513693,-0.00331434288013136,-0.00238146195931811,-0.000846153330756079,-0.00147955779753004,0.000965051387247629,-0.00140393308704077,0.00148773762172241,-0.00355664518908867,-0.00536216319366565,-0.0103067690704225,-0.0157731424263984
"q_7",0.00158607100116956,-0.00131481970477143,-0.00310268880007385,-0.00705189068325887,-0.00577836982426747,-0.0110508773128818,-0.0129008213164842,-0.0118658069701952,-0.00971438001239287,-0.0136875860371593,-0.0162970262005455,-0.0207617070371743,-0.0236116563945999,-0.0219413996742615,-0.0207800334431069,-0.0248165552254231
"q_8",-0.00883133421042394,-0.0107385177970416,-0.00871090791112206,-0.0107179463056021,-0.0128881908029646,-0.013592911164615,-0.00789132969225214,-0.0065165375124255,-0.00865019556886272,-0.0143411401804741,-0.0258303558980357,-0.0164243882402924,-0.0202616581844193,-0.0147297214386893,-0.0106204107462651,-0.00402195505798951
"q_9",-0.00572107928277077,-0.0107747701929754,-0.0121645133225836,-0.0122268873643496,-0.00739611446419036,-0.0227160740227469,-0.0220084804885244,-0.0176733024723209,-0.00742503032285936,-0.00304698234201824,-0.00326131426660322,-0.0108907656215006,-0.0331221668375269,-0.0458676611129064,-0.0662980099514136,-0.0550084195137405
"q_10",-0.00248328272443592,-0.00605355193268473,-0.00749754781633362,-0.0064945639693746,-0.0112563932348729,-0.0118759117467649,-0.00960344822446123,-0.0108637551240368,-0.0126880803402196,-0.0134896371742888,-0.0137585940254902,-0.0207143541543447,-0.023551749781732,-0.0191102458837499,-0.0281096400264942,-0.0211480838272504
"q_11",0.00236261698751875,0.00395728857167343,-0.00308142153480719,0.00088436562491832,-0.0110783561256756,-0.00281689936960697,0.0084655525744877,0.00811506538953563,0.00500899016786463,-0.000483963428264138,-0.00823264604705626,-0.00362479496322579,-0.000184031954903913,-0.0180614225236911,-0.0234152821653072,-0.0267506643254917
"q_1",0.0474580159194641,0.042268259994718,0.0526429300911652,0.0565096334828904,0.0584606214876762,0.0517185965358301,0.0477253210089975,0.0337988795718448,0.0437173552839882,0.0541800238968884,0.0477209952488605,0.070261252264443,0.0406428092357193,0.0444611564846604,0.0235658924337445,0.0134546210192316
"q_2",-0.0060446294112334,-0.0107681582836546,-0.00622244679513283,-0.0017947290504777,-0.000842791661984716,-0.0020238754312212,0.00222232299842948,0.00916543671533652,0.00984199385891871,0.00769429179377133,0.0120617717115083,0.00783629215644712,0.0117504945670531,0.00426353619071283,0.0117612448864893,0.0166983808948187
"q_3",0.00449450676774344,0.00195456349929347,0.00322534804978324,0.00418015534453169,0.00407750041842898,0.00339843143379936,0.000439651302736466,0.00109505713128961,-0.000759596169207127,-0.00172815694088033,0.00111493275817315,-0.00174359531352227,-0.000854791381671867,-0.00112966400655036,0.00196837900350752,0.00512265643265058
"q_4",-0.00874628992916202,-0.011294190469532,-0.0100722855497941,-0.00778584704194569,-0.0110426022454625,-0.012198288679304,-0.010328071036935,-0.00247136846035821,-0.0087296220688437,-0.0139960018105219,-0.0104043789563563,-0.0076836304827474,-0.005507419109813,-0.00753052560177435,-0.0114008005421158,-0.013867578136978
"q_5",-0.00318747412822373,-0.00575254986761043,-0.006900867170926,-0.00815238128419291,-0.00831881128755951,-0.00813692474226449,-0.00444802021038325,-0.00186583205771595,-0.00145823109903298,-0.00172220112303606,-0.00297241658388017,-0.00835818185938122,-0.0086951146559351,-0.00838301966940372,-0.0116834254352389,-0.0132825542303199
"q_6",-0.00397747842736868,-0.00529043935590113,-0.00681085176926509,-0.00604279333321196,-0.0051729181718735,-0.00449767566819068,-0.00230637113705857,-0.00187725230958944,-0.00415605127997311,-0.00609046856058928,-0.00540788733960779,-0.00457054792898856,-0.00720964596583879,-0.00732369763341624,-0.00683736372058319,-0.00481308696483498
"q_7",-0.00506841686587015,-0.00860814369543029,-0.00791677301260539,-0.00597047137906479,-0.00624192953394051,-0.00638714052087119,-0.00570494046271823,-0.00559509786393503,-0.00639911856531071,-0.00869846921993913,-0.00514936822698862,-0.00701421180391189,-0.00465431396286297,-0.00788055816117739,-0.00151492049998337,0.000982687210958657
"q_8",0.00306008403036066,0.0018560194548675,0.00299401174524302,0.00442396566711541,0.00537566433912724,0.00649673774463716,0.0082940616271929,0.00848297809197676,0.00714291556482498,0.00934891237930256,0.0093662434303401,0.0126342602488278,0.011993848016266,0.0133775398677873,0.0141277911191939,0.0131430729799721
"q_9",-0.00207770718377313,-0.00312068961534191,-0.0055250776187225,-0.00335318163967103,-0.00301169130910081,-0.00606307061873371,-0.00508801500767837,-0.00354260016629201,-0.00271057966194546,-0.00628601291165789,-0.0139275192487584,-0.0192391181862909,-0.0228460541428805,-0.031199951336734,-0.0307937536103147,-0.0327539493088457
